"","outp_tim","spgAtQ","spgAtN","spgMsQ","spgMsN","spgWwi","smrAtQ","smrWwi","smr14wi2W","smr14wi2E"
"3415",2012-09-29,2031.8910587904,7364.97537635608,4761.3204386304,12963.1039484935,0.735156623833333,1851.33310148872,-0.496103879833333,13.12262364,27.11076604
"3416",2012-09-30,2025.9130578432,7337.50562214802,4742.7571725312,12896.970126429,0.825483855166667,1857.67648110163,-0.612675162166667,12.66525119,25.69007585
"3417",2013-06-01,7473.7597105152,28530.927390721,16998.9176408064,79597.0177414387,-1.87056068033333,10422.2437498517,-2.026039204,40.32797942,39.67882805
"3418",2013-06-02,7540.4616158208,28864.2442121932,17161.8968245248,80692.8341133283,-1.94469236083333,10454.8639451731,-2.03111732783333,41.23797947,39.50322885
"3419",2013-06-03,7617.5463648768,29236.8437237381,17333.056430592,81826.5853781479,-1.98202809483333,10483.0894470986,-2.04471947883333,39.3507158,38.87681813
"3420",2013-06-04,7693.0579557888,29603.6929021484,17517.7451966976,83021.9840781119,-1.99865996333333,10501.9673448266,-2.10654765,35.45274726,35.99647101
"3421",2013-06-05,7766.3671252992,29961.1898964741,17710.2997535232,84252.3258492296,-1.92828348233333,10518.8255104859,-2.22405199966667,31.48592373,34.24083073
"3422",2013-06-06,7844.0811376128,30334.2410686657,17906.3152582656,85498.5098071825,-1.86666565066667,10526.6710023911,-2.30112748166667,28.38897404,35.34946554
"3423",2013-06-07,7924.6268345856,30717.6923059924,18102.330763008,86744.1146057189,-1.780037893,10529.4316411987,-2.34168865366667,25.99700364,34.6347313
"3424",2013-06-08,8005.801794816,31104.149173865,18291.109740288,87954.062278937,-1.71254508016667,10531.0758451943,-2.25925555616667,23.55306812,35.8039459
"3425",2013-06-09,8086.6621234176,31489.2379290268,18470.1351370752,89115.255376283,-1.71557296283333,10534.3541037783,-2.13470491916667,20.56951207,33.83783169
"3426",2013-06-10,8160.6005561856,31846.7909972777,18643.8117961728,90254.4916153459,-1.862862598,10546.9089207081,-2.03202848366667,19.19780026,35.46012551
"3427",2013-06-11,8239.2584633856,32225.1187642971,18803.0154003456,91327.1475356177,-1.90943389916667,10550.1161334404,-1.98298299316667,17.20324323,34.75746556
"3428",2013-06-12,8321.0626868736,32616.3087266769,18958.7580566016,92383.6400433029,-1.9222967755,10547.0713112262,-1.9862822515,16.44732412,31.81643001
"3429",2013-06-13,8399.4059624448,32994.925179957,19115.1299761152,93444.0229853046,-1.95776610466667,10544.3208218261,-1.90206308,15.80526165,28.52082518
"3430",2013-06-14,8477.1199747584,33371.765669542,19274.0189486592,94517.6807668214,-2.00893057716667,10542.1792968687,-1.7902598975,15.75903451,27.86845752
"3431",2013-06-15,8558.9241982464,33764.7815191766,19438.2566588928,95619.8013219514,-2.07824527033333,10541.5500336111,-1.63843841666667,14.97637482,35.13315268
"3432",2013-06-16,8641.9869482496,34163.6098897682,19597.4602630656,96700.7178884204,-2.13748612066667,10538.1195339165,-1.56121125633333,14.4538318,33.77983344
